gcs-1  | 2024/06/04 19:21:27.363 0.47129058837890625
gcs-1  | 2024/06/04 19:30:22.709 11.142829895019531
gcs-1  | 2024/06/04 19:30:27.710 13.604194641113281
gcs-1  | 2024/06/04 19:30:32.712 16.05791473388672
gcs-1  | 2024/06/04 19:30:37.713 10.415145874023438
gcs-1  | 2024/06/04 19:30:42.713 12.878974914550781
gcs-1  | 2024/06/04 19:30:47.714 15.367881774902344
gcs-1  | 2024/06/04 19:30:52.715 9.372314453125
gcs-1  | 2024/06/04 19:30:57.718 11.754783630371094
gcs-1  | 2024/06/04 19:31:02.719 14.211502075195312
gcs-1  | 2024/06/04 19:31:07.720 16.67999267578125
gcs-1  | 2024/06/04 19:31:12.721 10.782791137695312
gcs-1  | 2024/06/04 19:31:17.722 13.280471801757812
gcs-1  | 2024/06/04 19:31:22.724 15.736763000488281
gcs-1  | 2024/06/04 19:31:27.725 10.063522338867188
gcs-1  | 2024/06/04 19:31:32.728 12.499763488769531
gcs-1  | 2024/06/04 19:31:37.730 14.886199951171875
gcs-1  | 2024/06/04 19:31:42.731 9.108489990234375
gcs-1  | 2024/06/04 19:31:47.733 11.585563659667969
gcs-1  | 2024/06/04 19:31:52.735 14.075881958007812
gcs-1  | 2024/06/04 19:31:57.736 16.557769775390625
gcs-1  | 2024/06/04 19:32:02.737 10.810867309570312
gcs-1  | 2024/06/04 19:32:07.739 13.184783935546875
gcs-1  | 2024/06/04 19:32:12.740 15.646293640136719
gcs-1  | 2024/06/04 19:32:17.740 9.857810974121094
gcs-1  | 2024/06/04 19:32:22.742 12.212295532226562
gcs-1  | 2024/06/04 19:32:27.743 14.596710205078125
gcs-1  | 2024/06/04 19:32:32.744 9.035865783691406
gcs-1  | 2024/06/04 19:32:37.745 11.638259887695312
gcs-1  | 2024/06/04 19:32:42.746 14.198501586914062
gcs-1  | 2024/06/04 19:32:47.748 16.848388671875
gcs-1  | 2024/06/04 19:32:52.748 11.137123107910156
gcs-1  | 2024/06/04 19:32:57.749 13.722923278808594
gcs-1  | 2024/06/04 19:33:02.751 16.373641967773438
gcs-1  | 2024/06/04 19:33:07.753 9.919609069824219
gcs-1  | 2024/06/04 19:33:12.754 12.312255859375
gcs-1  | 2024/06/04 19:33:17.756 14.829246520996094
gcs-1  | 2024/06/04 19:33:22.757 9.050392150878906
gcs-1  | 2024/06/04 19:33:27.758 11.583648681640625
gcs-1  | 2024/06/04 19:33:32.760 14.016876220703125
gcs-1  | 2024/06/04 19:33:37.761 16.556686401367188
gcs-1  | 2024/06/04 19:33:42.773 10.625007629394531
gcs-1  | 2024/06/04 19:33:47.775 13.024528503417969
gcs-1  | 2024/06/04 19:33:52.776 15.596565246582031
gcs-1  | 2024/06/04 19:33:57.777 9.745750427246094
gcs-1  | 2024/06/04 19:34:02.778 12.34716796875
gcs-1  | 2024/06/04 19:34:07.779 14.959617614746094
gcs-1  | 2024/06/04 19:34:12.780 17.524765014648438
gcs-1  | 2024/06/04 19:34:17.782 11.546844482421875
gcs-1  | 2024/06/04 19:34:22.784 14.118873596191406
gcs-1  | 2024/06/04 19:34:27.785 16.70843505859375
gcs-1  | 2024/06/04 19:34:32.784 10.193046569824219
gcs-1  | 2024/06/04 19:34:37.814 12.485702514648438
gcs-1  | 2024/06/04 19:34:42.816 14.736854553222656
gcs-1  | 2024/06/04 19:34:47.817 17.065345764160156
gcs-1  | 2024/06/04 19:34:52.818 10.659378051757812
gcs-1  | 2024/06/04 19:34:57.819 13.1251220703125
gcs-1  | 2024/06/04 19:35:02.823 15.710685729980469
gcs-1  | 2024/06/04 19:35:07.824 18.30474090576172
gcs-1  | 2024/06/04 19:35:12.825 12.003318786621094
gcs-1  | 2024/06/04 19:35:17.827 14.653106689453125
gcs-1  | 2024/06/04 19:35:22.828 17.357589721679688
gcs-1  | 2024/06/04 19:35:27.829 11.02642822265625
gcs-1  | 2024/06/04 19:35:32.830 13.667793273925781
gcs-1  | 2024/06/04 19:35:37.831 16.328025817871094
gcs-1  | 2024/06/04 19:35:42.832 9.955978393554688
gcs-1  | 2024/06/04 19:35:47.833 12.561546325683594
gcs-1  | 2024/06/04 19:35:52.836 15.2049560546875
gcs-1  | 2024/06/04 19:35:57.838 17.817832946777344
gcs-1  | 2024/06/04 19:36:02.840 11.227790832519531
gcs-1  | 2024/06/04 19:36:07.841 13.8360595703125
gcs-1  | 2024/06/04 19:36:12.842 16.432937622070312
gcs-1  | 2024/06/04 19:36:17.843 19.054405212402344
gcs-1  | 2024/06/04 19:36:22.844 12.429069519042969
gcs-1  | 2024/06/04 19:36:27.846 15.116043090820312
gcs-1  | 2024/06/04 19:36:32.848 26.552085876464844
gcs-1  | 2024/06/04 19:36:37.849 29.160964965820312
gcs-1  | 2024/06/04 19:36:42.850 31.53943634033203
gcs-1  | 2024/06/04 19:36:47.851 34.08723449707031
gcs-1  | 2024/06/04 19:36:52.852 36.65630340576172
gcs-1  | 2024/06/04 19:36:57.853 39.16461181640625
gcs-1  | 2024/06/04 19:37:02.855 41.622657775878906
gcs-1  | 2024/06/04 19:37:07.856 25.137908935546875
gcs-1  | 2024/06/04 19:37:12.857 27.570457458496094
gcs-1  | 2024/06/04 19:37:17.858 30.110198974609375
gcs-1  | 2024/06/04 19:37:22.860 32.5474853515625
